I strictly avoid alcohol during the competitive part of the season for better recovery.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I prepare meals that are easy to digest, especially the day before a match.",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I use specific pre-workout foods (like bananas or oatmeal) for a quick energy boost.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I am capable of cooking nutritious meals quickly when I have limited recovery time.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I prefer making my own energy bars or gels over relying on store-bought varieties.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I believe hydration strategies are just as important as physical training.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I know how to adjust my water intake based on weather conditions (heat/humidity).,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I always check ingredient labels for hidden sugars or unhealthy additives.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I prioritize a high-quality source of protein with every main meal.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I believe nutrition planning gives me a competitive edge over my opponents.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I consciously choose meals that require minimal processing to retain nutrients.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I have consulted with a sports nutritionist to optimize my dietary plan.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I use food tracking apps or journals to monitor my nutritional adherence.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I avoid heavy, fatty foods in the evening before a match.",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I always wash down my supplements with enough water for proper absorption.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I am mindful of sodium intake to maintain proper fluid balance.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I prioritize foods that aid joint health (e.g., collagen, gelatin).",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I believe maintaining a consistent eating schedule is key to performance.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I use specific foods (e.g., tart cherry juice) to aid post-match muscle soreness.",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I critique the variety and quality of food options available at stadiums or venues I visit.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I always try the local, regional food specialties when traveling for an away game.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
The quality of the pre-match meal provided by the team significantly impacts my performance.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I prefer eating team meals with teammates over dining alone for better morale.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I find it difficult to stick to my nutrition plan when eating out with the team.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I believe the cultural food of the host city enhances the overall travel experience.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I have a dedicated 'comfort food' that I seek out after a major win or loss.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I prioritize finding high-quality coffee shops near the hotel before a match.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I will visit the team's official caterer or nutritionist with questions about ingredients.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I appreciate when team meals are cooked with local, fresh, and seasonal ingredients.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I use portable water filters or ensure bottled water quality when traveling internationally.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I feel the pressure to eat certain foods at team dinners even if they don't fit my diet.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I make conscious effort to try different restaurants or food stalls near the stadium.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I believe shared team meals are essential for team bonding and culture.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I prefer light, refreshing meals after evening games for better digestion and sleep.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I pack backup food (e.g., protein bars, nuts) in case venue catering is poor.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I am knowledgeable about which local restaurants offer healthy, performance-friendly options.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I feel guilt when consuming indulgent foods (e.g., pizza, burgers) during the season.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I believe having a celebration meal with teammates is important, regardless of the quality of the food.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I often skip desserts when eating out with the team to maintain discipline.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I discreetly ask hotel staff about the preparation methods if I have dietary concerns.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I believe the quality of the post-match meal is part of the professional standards.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I seek out local fruit and vegetable markets when traveling to get fresh produce.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I am comfortable ordering custom, off-menu items to meet my dietary needs.",Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I prioritize eating a meal with the team over leaving early to eat alone.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I bring my own preferred sports drink mix or hydration tablets when traveling.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I believe the food culture experienced on road trips adds flavor to the season.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I always look for a restaurant that can handle large groups efficiently.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I believe the timing of the team meal is often more important than the meal itself.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I have a specific ritual for eating a small snack during half-time.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I share my favorite healthy recipes with my teammates.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I get frustrated if I cannot find healthy food options at the travel destination.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I am proactive in organizing group meals when the team doesn't have official catering.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I avoid trying entirely new or risky foods right before a major game.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
I believe food can be a key distraction if the wrong choices are made on match day.,Strongly Disagree,Disagree,Agree,Strongly Agree,Match Day & Venue Dining
"I actively seek out authentic national dishes related to soccer culture (e.g., Argentinian Asado, Brazilian Feijoada).",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I find that food preferences are often linked to a player's national or regional identity.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I enjoy studying the history of food eaten by players from different soccer eras.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I would choose a restaurant that airs soccer matches over one with better food quality.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
"I believe watching a match with traditional fan food (e.g., sausages, pies) enhances the viewing experience.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I enjoy cooking international dishes I learned about through teammates or travel.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I actively look for recipes endorsed by professional athletes or performance nutritionists.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe the quality of the stadium's local beer or beverage selection is important for fan experience.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I enjoy visiting food trucks or street vendors near the stadium for unique local treats.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I seek out specialty stores to buy unique foods from countries represented by my teammates.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I use food as a primary way to celebrate cultural diversity within the team.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
"I have tried to replicate famous soccer-related food items (e.g., specific stadium sausage).",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I prefer watching soccer matches at a pub or bar known for good food.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I enjoy learning about the specific diets or favorite meals of famous soccer stars.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
"I am aware of food traditions associated with major international tournaments (e.g., World Cup, Euros).",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe the food served at the club's training facility should be gourmet and innovative.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I follow the social media accounts of chefs who specialize in athlete performance food.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I enjoy comparing the quality of stadium food between different leagues or countries.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe food preparation and cooking are essential life skills for a professional athlete.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I actively seek out new types of protein sources beyond standard chicken or beef.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I can easily adapt foreign recipes to fit my personal performance nutrition guidelines.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe food is the most effective way to recover after a mentally challenging loss.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I am comfortable eating vegetarian or vegan meals several times a week.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I have participated in a cooking competition or shared a recipe publicly.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I find that certain foods evoke strong memories of past games or tournaments.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
"I prefer eating celebratory meals at a local, family-run restaurant over a high-end chain.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe the nutritional advice given to me by the team is always correct and necessary.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I actively share photos of my healthy meals on social media to inspire others.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I enjoy visiting farmer's markets to learn about ingredients and talk to vendors.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe that food preparation at the club should prioritize speed for recovery.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I seek out unique international grocery stores near my home.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I know how to prepare a few traditional meals from my home country that are also performance-friendly.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I consider the ethics and sustainability of my food sources when shopping.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I prefer savory recovery snacks over sweet ones.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe sharing food stories with teammates helps build trust and connection.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
"I use specific spices (e.g., turmeric, ginger) for their known anti-inflammatory benefits.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I enjoy finding 'hidden gem' restaurants in new cities.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe a great post-match meal should be simple and focus on nutrient absorption.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I am comfortable asking a non-English speaking server for specific dietary needs.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I prioritize meals that are easy to portion control.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
"I enjoy reading food reviews, even for restaurants I will likely never visit.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe the taste of food is a secondary concern to its nutritional value.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I actively try to educate my family/friends on performance nutrition principles.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I believe being a 'foodie' can actually enhance athletic discipline.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
I have a detailed list of foods that I know cause me digestive distress.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Exploration & Culture
"I batch-cook meals regularly (e.g., on Sundays) to save time during the week.",Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
My home kitchen is organized with easy access to all my essential cooking equipment.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I use meal prep containers to portion and separate my meals for the week ahead.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I regularly use a scale to accurately measure ingredients and food portions.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I always write a detailed grocery list based on my weekly meal plan.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I find the process of cleaning up after cooking to be relaxing.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I have dedicated space in my fridge and pantry solely for performance foods.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I prefer preparing my own meals rather than relying on takeout or delivery services.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
"I own and regularly use specialized equipment for healthy cooking (e.g., air fryer, steamer).",Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I am skilled at adapting recipes quickly when an ingredient is missing.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I organize my spices alphabetically or by cuisine type.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I monitor the freshness of produce and use older items first to minimize waste.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I prefer buying ingredients in bulk when feasible.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I consciously choose cooking methods that require less added oil or fat.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
"I always prepare a large batch of healthy grains (e.g., rice, quinoa) at the beginning of the week.",Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I delegate kitchen tasks effectively when cooking with a partner or family member.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I use a dedicated cutting board for raw meat and poultry.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I clean and maintain my refrigerator regularly for food safety.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I believe having a well-organized kitchen contributes to mental clarity and focus.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I utilize frozen fruits and vegetables often for convenience and nutrition.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I own and use a quality food processor or blender for efficient prep.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I make my own salad dressings and vinaigrettes from scratch.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I prioritize buying produce that is not pre-cut for maximum freshness.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I have a system for labeling and dating leftovers to ensure food safety.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I avoid multi-tasking while cooking to minimize mistakes and accidents.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I enjoy experimenting with different herbs and fresh ingredients in simple dishes.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I have a dedicated storage area for all my cooking equipment and tools.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I believe maintaining food hygiene standards is essential for athlete health.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I have a backup meal plan for unexpected busy days.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
I make sure my kitchen is cleaned immediately after every meal preparation.,Strongly Disagree,Disagree,Agree,Strongly Agree,Kitchen & Meal Prep Habits
